assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,0,10,0,13.9,510,0.03,0.08,0.05,1.07,1,0,4.5,12.6,90,0,0,0,0,0,41617,1,1,1,18.0,1,4576,7580,50,1,Aaron_Hickey_510,1
0,0,17,0,1.4,510,0.0,0.0,0.0,0.95,1,0,2.4,22.8,78,0,0,0,0,0,40191,1,1,1,0.0,1,2598,5489,50,1,Aaron_Hickey_510,1
0,0,7,0,4.4,510,0.01,0.01,0.0,1.92,2,0,2.2,17.2,90,0,0,0,0,0,40259,1,2,5,0.0,0,3496,5090,50,1,Aaron_Hickey_510,1
0,0,14,0,2.5,510,0.03,0.03,0.0,1.52,3,0,2.0,17.6,90,0,0,0,0,0,41394,1,3,0,0.0,1,1645,2019,50,0,Aaron_Hickey_510,1
0,0,-2,0,1.5,510,0.0,0.0,0.0,0.12,0,0,0.3,1.8,29,0,0,0,0,0,44216,0,0,0,0.0,0,5196,3165,50,1,Aaron_Hickey_510,1
1,0,14,0,1.6,510,0.0,0.0,0.0,1.53,4,0,2.2,14.2,82,0,0,0,0,0,41162,1,1,5,6.0,3,1819,4778,50,0,Aaron_Hickey_510,1
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,42119,0,0,2,0.0,0,2330,2095,50,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,35493,0,0,0,0.0,0,231,5417,50,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,32525,0,0,4,0.0,0,38,4549,50,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,29236,0,1,1,0.0,0,56,3385,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,27272,0,2,2,0.0,0,48,2023,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,26263,0,2,1,0.0,0,45,1118,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,24679,0,2,2,0.0,0,220,1853,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,24197,0,2,0,0.0,0,38,539,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,23999,0,1,3,0.0,0,52,260,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,23626,0,0,2,0.0,0,50,427,49,0,Aaron_Hickey_510,0
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,23382,0,0,0,0.0,0,64,320,49,0,Aaron_Hickey_510,0
0,0,19,1,1.5,510,0.01,0.04,0.03,0.25,0,0,1.1,2.6,60,0,0,0,0,0,24028,1,0,3,7.0,6,774,341,49,0,Aaron_Hickey_510,1
0,0,0,0,0.0,510,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,24778,0,1,1,0.0,0,910,362,49,0,Aaron_Hickey_510,0
0,0,13,0,1.8,510,0.01,0.04,0.03,0.96,1,0,2.8,9.0,75,0,0,0,0,0,25150,1,1,1,17.0,2,654,403,49,0,Aaron_Hickey_510,1
1,0,18,0,1.1,510,0.01,0.03,0.02,1.21,1,0,1.5,10.4,90,0,0,0,0,0,26512,1,2,3,3.0,5,1638,528,49,0,Aaron_Hickey_510,1
0,0,16,0,16.0,510,0.19,0.19,0.0,1.0,1,0,3.6,14.2,73,0,0,0,0,0,33361,1,0,1,6.0,2,7237,972,49,0,Aaron_Hickey_510,1
0,0,15,1,0.2,510,0.0,0.0,0.0,0.51,0,0,0.9,9.0,90,0,0,0,0,0,33361,1,2,0,0.0,5,7237,972,49,1,Aaron_Hickey_510,1
0,2,23,0,7.3,510,0.04,0.04,0.0,1.35,1,0,3.4,26.4,90,0,0,0,0,0,38059,1,1,1,0.0,4,4590,1297,49,0,Aaron_Hickey_510,1
0,0,0,0,0.1,510,0.0,0.0,0.0,4.45,3,0,0.0,0.0,90,0,0,0,0,0,37876,1,3,3,0.0,0,3405,2411,49,1,Aaron_Hickey_510,1
0,0,2,0,0.8,510,0.01,0.03,0.02,0.19,0,0,0.1,0.0,15,0,0,0,0,0,37876,0,0,1,1.0,1,3405,2411,49,0,Aaron_Hickey_510,1
0,0,11,0,0.5,510,0.0,0.0,0.0,0.8,2,0,0.3,2.4,73,0,0,0,0,0,36871,1,2,1,0.0,1,1118,2063,49,0,Aaron_Hickey_510,1
0,0,9,0,1.5,510,0.0,0.0,0.0,0.66,2,0,0.8,4.2,73,0,0,0,0,0,37138,1,0,2,2.0,1,1345,1206,49,0,Aaron_Hickey_510,1
0,0,6,0,0.8,510,0.0,0.12,0.12,1.91,1,0,1.5,4.8,90,0,0,0,0,0,38276,1,1,1,9.0,2,1786,1039,49,0,Aaron_Hickey_510,1
