player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,Involved
Carlos Henrique_Casimiro_593,593,3,10,389,10,393.0,3.8200000000000003,7.3100000000000005,3.49,29.3,22,4,131.1,638.6,2122,0,0,0,2,0,223781.85714285713,24,29,62,278.0,87,989855,559152,1719,7,28
Carlos Vinícius_Alves Morais_618,618,2,10,206,1,118.3,0.72,3.76,3.04,24.8,20,5,72.7,244.0,1098,0,0,0,0,0,19680.0,11,47,46,370.0,72,125766,79042,1796,3,28
Carlos_Alcaraz_693,693,2,4,155,0,64.4,0.71,2.47,1.76,22.83,25,4,45.1,199.0,1024,0,0,0,0,0,2468.85,13,32,29,190.0,55,13216,9204,1000,3,18
Carlos_Ribeiro Dias_383,383,0,0,3,0,0.1,0.0,0.0,0.0,0.21,0,0,0.3,2.4,6,0,0,0,0,0,39781.94736842105,0,35,71,0.0,1,66881,90210,1626,0,1
Carney_Chukwuemeka_48,48,0,0,71,1,69.7,0.61,0.94,0.33,8.1,7,0,19.9,57.6,342,0,0,0,0,0,45783.78947368421,2,37,48,72.0,18,55752,102878,1632,0,14
Charlie_Goode_96,96,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,57388.71052631579,0,41,63,0.0,0,59783,89823,1488,0,0
Charlie_Robinson_750,750,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1448.75,0,19,17,0.0,0,3194,1775,480,0,0
Che_Adams_411,411,5,9,262,4,336.4,2.19,8.67,6.48,34.19,41,5,124.6,340.4,1987,0,0,0,0,0,119545.63157894737,23,54,55,583.0,94,546363,553952,2375,1,28
Cheick_Doucouré_514,514,3,3,411,7,345.8,1.22,2.67,1.45,40.18,41,0,97.6,471.40000000000003,2770,0,0,0,1,0,12803.078947368422,34,42,47,157.0,74,22173,27360,1900,8,34
Cheikhou_Kouyaté_583,583,0,2,144,2,82.8,0.33,0.69,0.36,17.06,23,1,32.2,158.8,871,0,0,0,0,0,14802.194444444445,10,35,68,81.0,35,32400,41155,1603,3,21
Chem_Campbell_568,568,0,0,9,0,3.0,0.0,0.1,0.1,1.02,2,0,2.4000000000000004,5.6,68,0,0,0,0,0,35446.44736842105,0,32,57,16.0,5,55542,55013,1676,0,5
Chris_Mepham_71,71,0,6,369,5,54.4,0.5499999999999999,1.51,0.96,42.46,52,0,74.4,556.4,2197,2,0,0,0,0,13068.0,24,45,63,134.0,43,31111,35797,1661,7,26
Chris_Richards_530,530,0,0,83,1,15.3,0.05,0.76,0.71,11.190000000000001,11,0,13.2,92.4,443,0,0,0,0,0,5855.131578947368,4,42,47,26.0,13,3585,7548,1677,0,9
Chris_Wood_354,354,0,7,163,4,82.1,0.37,3.08,2.71,11.8,9,3,39.3,145.2,807,0,0,0,0,0,74536.8947368421,9,41,60,169.0,53,139359,247535,2145,0,25
Christian_Benteke_155,155,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,20128.552631578947,0,42,47,0.0,0,3358,78711,2090,0,0
Christian_Eriksen_519,519,9,8,426,13,564.3,3.49,8.28,4.79,26.02,25,1,132.8,420.8,2046,0,0,0,0,0,298162.34210526315,25,32,69,344.0,103,676275,933099,2387,3,28
Christian_Nørgaard_79,79,6,6,309,6,173.70000000000002,1.74,3.38,1.6400000000000001,25.13,23,1,82.3,379.2,1763,0,0,0,0,0,22339.5,21,41,63,269.0,71,76465,83181,2028,6,22
Christian_Pulisic_140,140,1,0,102,3,166.7,0.38,2.0500000000000003,1.67,14.129999999999999,11,1,49.1,117.2,805,0,0,0,0,0,55767.28947368421,8,37,48,210.0,39,124807,158266,2162,1,24
Christian_Saydee_597,597,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2283.7428571428572,0,42,57,0.0,0,4958,4355,1575,0,0
Ciaran_Clark_352,352,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,229.8421052631579,0,46,55,0.0,0,0,257,1710,0,0
Claudio_Gomes_599,599,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,697.6571428571428,0,46,69,0.0,0,754,811,1575,0,0
Clément_Lenglet_513,513,2,6,387,5,136.1,0.78,1.76,0.98,28.57,35,0,64.7,380.8,2018,0,0,0,0,0,35988.07894736842,24,58,75,130.0,63,50641,75040,1831,4,26
Cody_Drameh_547,547,0,0,16,0,2.7,0.01,0.01,0.0,1.4,3,0,1.6,12.8,70,0,0,0,0,0,15004.342105263158,1,59,67,0.0,1,9836,16300,1520,0,1
Cody_Gakpo_680,680,3,4,256,6,271.1,1.87,8.3,6.43,19.56,19,7,101.3,331.8,1455,0,0,0,0,0,478598.95454545453,17,27,43,415.0,90,2806709,1256031,1705,0,21
Cole_Palmer_316,316,1,0,76,1,72.4,0.49,0.85,0.36,7.13,4,0,23.1,59.2,358,0,0,0,0,0,11181.157894736842,2,51,76,97.0,19,22171,26632,1637,1,14
Connor_Ronan_567,567,0,0,3,0,0.4,0.0,0.0,0.0,0.03,0,0,0.1,0.6,1,0,0,0,0,0,13273.394736842105,0,32,57,0.0,1,20324,20582,1676,0,1
Conor_Coady_475,475,1,5,397,7,59.5,0.49,1.33,0.8400000000000001,36.88,28,1,54.0,392.6,2094,0,0,0,0,0,448124.2105263158,23,45,48,88.0,77,1072199,1117537,1852,2,24
Conor_Coventry_556,556,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,11555.657894736842,0,40,57,0.0,1,8783,15521,1676,0,1
Conor_Gallagher_148,148,1,7,279,4,343.5,1.73,4.28,2.55,30.95,23,3,104.3,379.8,1608,0,0,0,1,0,66081.57894736843,18,37,48,321.0,66,134102,219235,2157,9,35
Craig_Dawson_459,459,1,7,390,7,37.2,0.27,1.8,1.53,35.83,31,1,64.0,455.6,2134,0,0,0,0,0,60163.60526315789,25,30,59,145.0,75,287891,184844,1830,6,25
Cristian_Romero_443,443,2,3,447,8,136.2,1.02,2.52,1.5,34.11,41,0,77.3,546.2,2363,0,0,0,1,0,161116.02631578947,26,58,75,91.0,66,261291,400773,1865,9,27
Cristiano Ronaldo_dos Santos Aveiro_326,326,0,3,42,3,83.2,0.25,2.14,1.8900000000000001,5.95,8,1,35.6,63.8,519,0,0,0,0,0,252733.65789473685,4,32,69,218.0,20,218768,562405,3888,2,10
Crysencio_Summerville_240,240,4,4,235,1,222.6,1.1099999999999999,3.94,2.83,28.93,38,4,88.6,311.8,1411,0,0,0,0,0,59573.81578947369,12,59,67,357.0,74,354552,336471,1635,4,28
Curtis_Jones_291,291,1,4,206,4,214.4,1.36,2.51,1.1500000000000001,15.6,15,3,71.6,266.2,1029,0,0,0,0,0,3883.0789473684213,12,46,76,236.0,52,54249,11052,1864,2,18
Cédric_Alves Soares_1,1,0,0,56,0,51.4,0.19,0.25,0.060000000000000005,2.83,3,0,11.9,56.4,223,0,0,0,0,0,15909.972222222223,2,53,54,10.0,10,9736,28294,1521,0,8
César_Azpilicueta_127,127,0,4,242,3,206.7,1.25,1.5999999999999999,0.35,27.38,21,0,55.8,259.2,1521,1,0,0,0,0,156541.2894736842,16,37,48,93.0,45,290103,335914,1824,3,25
Dale_Taylor_666,666,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1584.25,0,23,43,0.0,0,3777,3601,1080,0,0
Dan_Burn_358,358,0,6,584,14,230.4,1.28,3.4,2.12,36.33,30,1,104.8,550.2,3109,0,0,0,0,0,316725.8157894737,35,46,55,265.0,129,1006031,582057,1713,5,38
Dane_Scarlett_447,447,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4345.473684210527,0,58,75,0.0,0,0,7018,1710,0,0
Dango_Ouattara_705,705,3,4,163,1,261.0,1.68,5.2,3.52,25.86,23,1,81.0,276.8,1239,0,0,0,0,0,4012.8947368421054,15,26,23,274.0,49,15457,12604,950,1,19
Daniel_Adu-Adjei_695,695,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1534.45,0,26,25,0.0,0,5089,3707,900,0,0
Daniel_Amartey_257,257,0,4,328,5,79.8,0.44,1.51,1.07,27.560000000000002,27,0,48.9,358.4,1608,0,0,0,0,0,63977.31578947369,18,55,64,50.0,51,262932,220244,1590,1,20
Daniel_Bentley_717,717,0,0,45,0,0.0,0.0,0.0,0.0,4.66,3,0,7.0,70.2,180,0,0,0,0,11,2236.1111111111113,2,12,35,0.0,6,6865,2678,720,0,2
Daniel_Castelo Podence_483,483,1,10,249,6,512.8,2.19,6.07,3.88,28.240000000000002,31,6,146.8,376.0,1760,0,0,0,0,0,97747.28947368421,20,32,57,580.0,92,284370,332065,2024,5,32
Daniel_Iversen_548,548,0,2,183,1,0.0,0.0,0.0,0.0,21.240000000000002,22,0,25.6,255.8,1080,1,0,0,0,38,412643.5789473684,12,55,64,0.0,29,943701,695964,1473,0,12
Daniel_James_231,231,1,2,152,1,121.4,0.75,2.77,2.02,19.98,18,2,48.1,144.60000000000002,802,0,0,0,0,0,16191.026315789473,7,51,55,218.0,45,40818,40551,2269,0,24
Danilo_dos Santos de Oliveira_703,703,2,5,178,1,108.10000000000001,0.5599999999999999,2.14,1.58,20.32,18,3,47.1,253.8,976,0,0,0,0,0,3963.4210526315787,12,21,36,113.0,48,29148,10539,855,1,13
Danny_Ings_30,30,2,13,317,5,186.0,1.27,9.7,8.43,26.29,26,8,118.6,398.40000000000003,1579,0,0,0,0,0,162441.31578947368,15,40,66,604.0,97,648827,652962,2488,4,35
Danny_Ward_254,254,0,12,485,6,0.0,0.0,0.0,0.0,42.87,46,0,63.0,631.4,2340,0,0,1,0,77,2749260.6842105263,26,55,64,0.0,91,2427733,3064178,1521,0,26
Danny_Welbeck_103,103,5,5,296,6,390.6,1.65,10.24,8.59,26.45,28,6,155.4,378.2,1844,0,0,0,0,0,144076.07894736843,21,56,69,782.0,91,828978,563194,2470,0,31
Darko_Gyabi_247,247,0,0,7,0,0.5,0.0,0.06,0.06,0.27,0,0,2.5,4.4,7,0,0,0,0,0,11416.631578947368,0,59,67,20.0,1,23222,22517,1629,0,1
Darren_Randolph_571,571,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,15211.157894736842,0,43,46,0.0,0,14050,12677,1520,0,0
Darwin_Núñez Ribeiro_297,297,5,8,310,7,336.9,2.66,14.81,12.15,28.62,22,9,186.0,458.20000000000005,1684,0,0,0,1,0,1046105.9736842106,19,46,76,1078.0,100,4785038,5243009,3344,1,29
David Datro_Fofana_684,684,0,0,8,0,34.6,0.04,0.61,0.5700000000000001,1.7199999999999998,1,0,8.0,15.2,68,0,0,0,0,0,7570.318181818182,1,23,24,30.0,3,23438,18699,1100,0,3
David_Brooks_60,60,0,0,7,0,16.4,0.2,0.53,0.33,4.4,4,0,6.0,13.6,170,0,0,0,0,0,1517.6315789473683,2,45,63,31.0,5,2048,4899,2021,1,6
David_De Gea Quintana_327,327,0,5,729,17,13.0,0.22,0.22,0.0,50.24,43,0,80.7,792.2,3420,0,0,1,0,101,1046772.552631579,38,32,69,0.0,161,2805046,1406000,1885,0,38
David_Ozoh_676,676,0,0,3,0,0.8,0.0,0.0,0.0,0.0,0,0,0.1,0.0,1,0,0,0,0,0,231.47826086956522,0,26,27,0.0,1,670,478,1035,0,1
David_Raya Martin_81,81,0,20,822,12,20.1,0.12,0.23,0.11,50.12,46,0,115.2,1125.4,3420,1,0,0,0,154,1162022.7894736843,38,41,63,4.0,166,2879874,1601888,1778,1,38
Davinson_Sánchez_435,435,0,1,166,2,29.9,0.2,0.8500000000000001,0.65,12.76,17,0,26.3,180.6,848,0,0,0,0,0,67802.65789473684,8,58,75,52.0,28,76352,108921,1639,1,18
Dean_Henderson_398,398,0,12,367,6,0.0,0.01,0.01,0.0,26.97,31,0,47.5,474.4,1620,0,0,2,0,54,902806.2894736842,18,35,71,0.0,82,1358223,1593508,1762,2,18
Declan_Rice_467,467,3,12,622,9,522.4,1.85,4.25,2.4000000000000004,48.28,50,4,152.7,777.6,3272,0,1,0,0,0,401851.7368421053,36,40,57,226.0,116,441299,717912,1819,5,37
Dejan_Kulusevski_446,446,7,5,310,8,627.6,4.76,7.44,2.68,30.15,40,2,154.7,409.2,2062,0,0,0,0,0,623564.447368421,23,58,75,514.0,96,2082978,2399076,3022,2,30
Dele_Alli_181,181,0,0,5,0,2.1999999999999997,0.0,0.0,0.0,1.68,1,0,0.8999999999999999,0.6000000000000001,38,0,0,0,0,0,15094.921052631578,0,45,46,6.0,2,7054,52330,2019,0,2
Demarai_Gray_189,189,1,4,284,7,605.2,3.82,9.99,6.17,46.589999999999996,39,4,168.5,410.4,2501,0,0,0,0,0,77306.31578947368,27,45,46,670.0,91,234016,262867,2030,3,33
Denis_Zakaria_616,616,0,0,47,2,22.6,0.05,0.24000000000000002,0.19,6.6899999999999995,5,0,9.2,44.6,409,0,0,0,0,0,4048.818181818182,5,32,39,24.0,13,9256,8916,1632,0,7
Deniz_Undav_123,123,2,4,173,2,105.7,1.25,6.140000000000001,4.89,9.03,9,5,59.5,157.6,614,1,0,0,0,0,39304.55263157895,6,56,69,333.0,52,195567,113901,1938,2,22
