player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90
Sam Greenwood,237,2,1,107,0,210.5,1.06,1.75,0.69,11.8,11,1,41.6,121.8,410,0,0,0,0,0,1312620.0,3,85.0,30,2442516,3178160,1,18,£4.5,£4.1,£-0.4,-735644,4.555555555555555,0.2326829268292683,0.38414634146341464,0.15146341463414634,2.5902439024390245,0.21951219512195122,2.4146341463414633,0.0,0.43902439024390244,0.21951219512195122
Sam Johnstone,175,0,5,159,3,0.0,0.0,0.0,0.0,8.81,10,0,15.6,155.0,810,0,0,0,0,26,38498.0,9,0.0,36,181435,79766,1,9,£4.5,£4.4,£-0.1,101669,9.0,0.0,0.0,0.0,0.9788888888888889,0.0,1.1111111111111112,2.888888888888889,0.0,0.5555555555555556
Sam Surridge,391,0,3,61,0,15.900000000000002,0.02,1.73,1.71,8.6,5,1,15.7,59.4,306,0,0,0,0,0,91998.0,1,92.0,26,141494,229640,2,20,£5.0,£4.6,£-0.4,-88146,3.4,0.0058823529411764705,0.5088235294117647,0.5029411764705882,2.5294117647058822,0.29411764705882354,1.4705882352941178,0.0,0.0,0.8823529411764706
Saman Ghoddos,87,0,0,53,0,62.800000000000004,0.29,0.34,0.05,4.01,5,0,11.1,27.2,124,0,0,0,0,0,2586.0,0,21.0,15,1986,3318,0,15,£5.0,£4.8,£-0.2,-1332,1.3777777777777778,0.21048387096774193,0.24677419354838712,0.036290322580645164,2.9104838709677416,0.0,3.629032258064516,0.0,0.0,0.0
Sammy Braybrooke,639,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,455.0,0,0.0,0,1281,1215,0,0,£4.5,£4.5,£0.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Amo-Ameyaw,778,0,0,6,0,0.0,0.0,0.0,0.0,0.61,0,0,0.0,0.0,3,0,0,0,0,0,0.0,0,0.0,1,0,0,0,1,£4.5,£4.5,£0.0,0,0.03333333333333333,0.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0
Samuel Edozie,624,0,0,82,1,110.3,0.43,1.31,0.88,7.27,9,0,33.2,89.2,554,0,0,0,0,0,1178.0,5,133.0,23,2488,2639,0,17,£5.0,£4.6,£-0.4,-151,6.155555555555556,0.06985559566787003,0.2128158844765343,0.14296028880866427,1.1810469314079421,0.0,1.4620938628158844,0.0,0.0,0.0
Sasa Kalajdzic,608,0,0,-1,0,0.0,0.0,0.27,0.27,0.62,0,0,0.7,0.0,45,0,0,0,0,0,1570.0,1,9.0,1,9060,7541,0,1,£5.5,£5.3,£-0.2,1519,0.5,0.0,0.54,0.54,1.24,0.0,0.0,0.0,0.0,0.0
Sasa Lukic,726,0,0,58,0,16.0,0.16,0.29,0.13,9.68,10,0,6.8,34.2,406,0,0,0,0,0,451.0,4,18.0,15,1000,601,1,12,£4.5,£4.5,£0.0,399,4.511111111111111,0.035467980295566505,0.06428571428571428,0.028817733990147785,2.1458128078817733,0.0,2.2167487684729066,0.0,0.0,0.0
Saïd Benrahma,464,3,5,360,6,613.9,3.2800000000000002,10.32,7.04,32.76,32,6,177.7,510.0,2059,0,0,0,0,0,113798.0,22,653.0,106,327143,398725,0,35,£6.0,£5.5,£-0.5,-71582,22.877777777777776,0.14337056823700828,0.4510927634774163,0.307722195240408,1.4319572608062165,0.26226323457989315,1.3987372510927636,0.0,0.13113161728994657,0.2185526954832443
Scott Carson,502,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,37316.0,0,0.0,0,88683,78112,0,0,£4.0,£3.8,£-0.2,10571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott McKenna,385,0,0,275,5,93.9,0.42,0.49,0.06999999999999999,28.95,32,0,41.8,278.8,1570,0,0,0,0,0,10771.0,19,46.0,40,15827,24018,4,20,£4.5,£4.4,£-0.1,-8191,17.444444444444443,0.02407643312101911,0.028089171974522296,0.004012738853503185,1.6595541401273886,0.0,1.834394904458599,0.0,0.0,0.0
Scott McTominay,338,0,2,146,4,122.80000000000001,0.99,2.95,1.96,22.38,20,1,51.7,242.2,1149,0,0,0,0,0,19930.0,10,156.0,36,25667,44357,8,24,£5.0,£4.9,£-0.1,-18690,12.766666666666667,0.07754569190600522,0.2310704960835509,0.1535248041775457,1.7530026109660573,0.07832898172323759,1.5665796344647518,0.0,0.0,0.15665796344647517
Seamus Coleman,178,0,5,314,5,108.7,0.92,1.22,0.3,33.5,25,1,50.4,297.8,1654,0,0,0,0,0,46395.0,20,95.0,63,350366,185605,1,23,£4.5,£4.1,£-0.4,164761,18.377777777777776,0.050060459492140275,0.06638452237001209,0.016324062877871828,1.8228536880290207,0.05441354292623942,1.3603385731559856,0.0,0.0,0.2720677146311971
Sean Longstaff,370,5,2,347,13,372.0,2.57,5.87,3.3,27.57,18,1,116.8,385.2,2514,0,0,0,0,0,155858.0,28,408.0,93,366110,403817,2,33,£4.5,£4.3,£-0.2,-37707,27.933333333333334,0.09200477326968973,0.21014319809069212,0.11813842482100238,0.9869928400954654,0.03579952267303103,0.6443914081145584,0.0,0.17899761336515513,0.07159904534606205
Sean McAllister,768,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,134.0,0,0.0,0,218,24,0,0,£4.5,£4.5,£0.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Revan,754,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,496.0,0,0.0,0,1115,615,0,0,£4.0,£4.0,£0.0,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
